"waterbody_segment","pollutant_name","test_fraction","pollutant_group","n_samples","most_recent_sample_year","n_detects","most_recent_detect_year","n_sample_dates","n_ccc_exceedance","n_cmc_exceedance","n_d_exceedance","most_recent_ccc_exceedance_date","most_recent_ccc_exceedance_year","most_recent_cmc_exceedance_date","most_recent_cmc_exceedance_year","most_recent_d_exceedance_date","most_recent_d_exceedance_year","n_since_most_recent_ccc_exceedance","n_since_most_recent_cmc_exceedance","n_since_most_recent_d_exceedance","n_samples_2011_to_2021","most_recent_sample_2011_to_2021","n_detects_2011_to_2021","most_recent_detect_2011_to_2021","n_ccc_exceedance_2011_to_2021","n_cmc_exceedance_2011_to_2021","n_d_exceedance_2011_to_2021","n_samples_2016_to_2021","most_recent_sample_2016_to_2021","n_detects_2016_to_2021","most_recent_detect_2016_to_2021","n_ccc_exceedance_2016_to_2021","n_cmc_exceedance_2016_to_2021","n_d_exceedance_2016_to_2021","current_category","ccc_criterion","ccc_dl_ratio_range","ccc_dl_ratio","cmc_criterion","cmc_dl_ratio_range","cmc_dl_ratio","d_criterion","d_dl_ratio_range","d_dl_ratio","decision_case_number"
"WATTS BRANCH UPPER","BENZO_A_PYRENE",NA,"PAH3",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3",NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1",9
"BATTERY KEMBLE CREEK","BENZO_A_PYRENE",NA,"PAH3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,"Not Listed",NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1",15
"C&O CANAL","BENZO_A_PYRENE",NA,"PAH3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,"Not Listed",NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1",15
"FORT CHAPLIN TRIBUTARY","BENZO_A_PYRENE",NA,"PAH3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,"Not Listed",NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1",15
"FORT DAVIS TRIBUTARY","BENZO_A_PYRENE",NA,"PAH3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,"Not Listed",NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1",15
"FOUNDRY BRANCH","BENZO_A_PYRENE",NA,"PAH3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,"Not Listed",NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1",15
"ANACOSTIA LOWER","BENZO_K_FLUORANTHENE",NA,"PAH3",52,2021,2,"2016",24,0,0,2,NA,"Never",NA,"Never",2016-12-01,"2016",0,0,18,52,2021,2,"2016",0,0,2,40,2021,2,"2016",0,0,2,"4a",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",1
"ANACOSTIA UPPER","BENZO_K_FLUORANTHENE",NA,"PAH3",56,2019,4,"2016",14,0,0,4,NA,"Never",NA,"Never",2016-10-05,"2016",0,0,28,56,2019,4,"2016",0,0,4,37,2019,2,"2016",0,0,2,"4a",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",1
"BROAD BRANCH","BENZO_K_FLUORANTHENE",NA,"PAH3",14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,14,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",15
"DALECARLIA TRIBUTARY","BENZO_K_FLUORANTHENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",8
"DUMBARTON OAKS","BENZO_K_FLUORANTHENE",NA,"PAH3",15,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,15,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",9
"FENWICK BRANCH","BENZO_K_FLUORANTHENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",8
"FORT DUPONT TRIBUTARY","BENZO_K_FLUORANTHENE",NA,"PAH3",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",15
"FORT STANTON TRIBUTARY","BENZO_K_FLUORANTHENE",NA,"PAH3",20,2021,0,"Never",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,20,2021,0,"Never",0,0,0,16,2021,0,"Never",0,0,0,"4a",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",2
"HICKEY RUN","BENZO_K_FLUORANTHENE",NA,"PAH3",6,2019,0,"Never",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,0,"Never",0,0,0,3,2019,0,"Never",0,0,0,"4a",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",2
"KINGMAN LAKE","BENZO_K_FLUORANTHENE",NA,"PAH3",25,2019,1,"2016",13,0,0,1,NA,"Never",NA,"Never",2016-06-15,"2016",0,0,15,25,2019,1,"2016",0,0,1,15,2019,0,"Never",0,0,0,"4a",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",5
"KLINGLE VALLEY","BENZO_K_FLUORANTHENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",8
"LUZON BRANCH","BENZO_K_FLUORANTHENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",8
"MELVIN HAZEN VALLEY BRANCH","BENZO_K_FLUORANTHENE",NA,"PAH3",14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,14,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",9
"NASH RUN","BENZO_K_FLUORANTHENE",NA,"PAH3",7,2019,1,"2018",6,0,0,1,NA,"Never",NA,"Never",2018-10-12,"2018",0,0,1,7,2019,1,"2018",0,0,1,3,2019,1,"2018",0,0,1,"4a",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",5
"NORMANSTONE CREEK","BENZO_K_FLUORANTHENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"Not Listed",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",15
"OXON RUN","BENZO_K_FLUORANTHENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",8
"PINEHURST BRANCH","BENZO_K_FLUORANTHENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",8
"PINEY BRANCH","BENZO_K_FLUORANTHENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",8
"POPE BRANCH","BENZO_K_FLUORANTHENE",NA,"PAH3",7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,0,"Never",0,0,0,4,2019,0,"Never",0,0,0,"4a",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",2
"PORTAL BRANCH","BENZO_K_FLUORANTHENE",NA,"PAH3",2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",8
"POTOMAC LOWER","BENZO_K_FLUORANTHENE",NA,"PAH3",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",15
"POTOMAC MIDDLE","BENZO_K_FLUORANTHENE",NA,"PAH3",13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-08-18,"2020",0,0,10,13,2021,1,"2020",0,0,1,13,2021,1,"2020",0,0,1,"Not Listed",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",18
"POTOMAC UPPER","BENZO_K_FLUORANTHENE",NA,"PAH3",13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-09-11,"2020",0,0,9,13,2021,1,"2020",0,0,1,13,2021,1,"2020",0,0,1,"Not Listed",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",18
"ROCK CREEK LOWER","BENZO_K_FLUORANTHENE",NA,"PAH3",13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-07-09,"2020",0,0,11,13,2021,1,"2020",0,0,1,13,2021,1,"2020",0,0,1,"Not Listed",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",18
"ROCK CREEK UPPER","BENZO_K_FLUORANTHENE",NA,"PAH3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,"Not Listed",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",15
"SOAPSTONE CREEK","BENZO_K_FLUORANTHENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",8
"TEXAS AVENUE TRIBUTARY","BENZO_K_FLUORANTHENE",NA,"PAH3",6,2019,1,"2014",6,0,0,1,NA,"Never",NA,"Never",2014-01-12,"2014",0,0,3,6,2019,1,"2014",0,0,1,3,2019,0,"Never",0,0,0,"4a",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",5
"TIDAL BASIN","BENZO_K_FLUORANTHENE",NA,"PAH3",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",8
"WASHINGTON SHIP CHANNEL","BENZO_K_FLUORANTHENE",NA,"PAH3",19,2016,2,"2016",7,0,0,2,NA,"Never",NA,"Never",2016-10-05,"2016",0,0,4,19,2016,2,"2016",0,0,2,12,2016,2,"2016",0,0,2,"3",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",7
"WATTS BRANCH LOWER","BENZO_K_FLUORANTHENE",NA,"PAH3",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",8
"WATTS BRANCH UPPER","BENZO_K_FLUORANTHENE",NA,"PAH3",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",9
"BATTERY KEMBLE CREEK","BENZO_K_FLUORANTHENE",NA,"PAH3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,"Not Listed",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",15
"C&O CANAL","BENZO_K_FLUORANTHENE",NA,"PAH3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,"Not Listed",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",15
"FORT CHAPLIN TRIBUTARY","BENZO_K_FLUORANTHENE",NA,"PAH3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,"Not Listed",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",15
"FORT DAVIS TRIBUTARY","BENZO_K_FLUORANTHENE",NA,"PAH3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,"Not Listed",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",15
"FOUNDRY BRANCH","BENZO_K_FLUORANTHENE",NA,"PAH3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,"Not Listed",NA,NA,NA,NA,NA,NA,"0.013","4 - 7.38","greater than 1",15
"ANACOSTIA LOWER","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",52,2021,1,"2014",24,0,0,1,NA,"Never",NA,"Never",2014-09-22,"2014",0,0,48,52,2021,1,"2014",0,0,1,40,2021,0,"Never",0,0,0,"4a","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",5
"ANACOSTIA UPPER","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",105,2019,0,"Never",17,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,105,2019,0,"Never",0,0,0,86,2019,0,"Never",0,0,0,"4a","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",2
"BROAD BRANCH","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,14,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"4a","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",2
"DALECARLIA TRIBUTARY","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",8
"DUMBARTON OAKS","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",15,2021,2,"2021",14,2,0,2,2021-02-10,"2021",NA,"Never",2021-02-10,"2021",4,0,4,15,2021,2,"2021",2,0,2,13,2021,2,"2021",2,0,2,"4a","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",1
"FENWICK BRANCH","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",8
"FORT DUPONT TRIBUTARY","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",15
"FORT STANTON TRIBUTARY","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",17,2021,0,"Never",16,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,17,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",15
"HICKEY RUN","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",6,2019,0,"Never",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,0,"Never",0,0,0,3,2019,0,"Never",0,0,0,"4a","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",2
"KINGMAN LAKE","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",25,2019,1,"2014",13,0,0,1,NA,"Never",NA,"Never",2014-09-22,"2014",0,0,20,25,2019,1,"2014",0,0,1,15,2019,0,"Never",0,0,0,"4a","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",5
"KLINGLE VALLEY","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",8
"LUZON BRANCH","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"4a","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",2
"MELVIN HAZEN VALLEY BRANCH","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,14,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",9
"NASH RUN","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,0,"Never",0,0,0,3,2019,0,"Never",0,0,0,"4a","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",2
"NORMANSTONE CREEK","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"Not Listed","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",15
"OXON RUN","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",8
"PINEHURST BRANCH","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",8
"PINEY BRANCH","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"4a","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",2
"POPE BRANCH","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",7,2019,1,"2013",6,1,0,1,2013-11-27,"2013",NA,"Never",2013-11-27,"2013",5,0,5,7,2019,1,"2013",1,0,1,4,2019,0,"Never",0,0,0,"4a","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",5
"PORTAL BRANCH","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",8
"POTOMAC LOWER","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",15
"POTOMAC MIDDLE","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",15
"POTOMAC UPPER","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",15
"ROCK CREEK LOWER","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",13,2021,1,"2020",13,1,0,1,2020-12-08,"2020",NA,"Never",2020-12-08,"2020",6,0,6,13,2021,1,"2020",1,0,1,13,2021,1,"2020",1,0,1,"Not Listed","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",18
"ROCK CREEK UPPER","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,"4a","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",2
"SOAPSTONE CREEK","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"4a","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",2
"TEXAS AVENUE TRIBUTARY","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",6,2019,1,"2013",6,1,0,1,2013-11-27,"2013",NA,"Never",2013-11-27,"2013",4,0,4,6,2019,1,"2013",1,0,1,3,2019,0,"Never",0,0,0,"4a","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",5
"TIDAL BASIN","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",8
"WASHINGTON SHIP CHANNEL","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",19,2016,0,"Never",7,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,19,2016,0,"Never",0,0,0,12,2016,0,"Never",0,0,0,"3","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",9
"WATTS BRANCH LOWER","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,0,"Never",0,0,0,4,2019,0,"Never",0,0,0,"4a","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",2
"WATTS BRANCH UPPER","CHLORDANE_TECHNICAL",NA,"CHLORDANE_TECHNICAL",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"4a","4.3E-3","0.326 - 16.3","greater than 1","2.4","0.000583 - 0.0292","less than 1","0.00032","4.38 - 212.9","greater than 1",2
